x,c_err,q_err
7.543647e+05,0.000000e+00,1.261266e-03
3.047004e+05,6.426087e-08,6.297566e-06
2.928017e+05,0.000000e+00,1.421137e-04
1.042131e+05,0.000000e+00,1.587959e-03
9.507628e+05,0.000000e+00,8.078732e-04
1.449444e+05,0.000000e+00,1.005735e-03
6.868805e+05,0.000000e+00,1.738141e-03
7.502786e+05,0.000000e+00,1.306146e-03
7.288599e+05,0.000000e+00,1.513176e-03
9.161599e+05,0.000000e+00,1.614597e-04
1.686962e+05,0.000000e+00,1.749450e-03
8.695596e+05,0.000000e+00,3.159023e-05
2.420995e+05,0.000000e+00,1.376222e-03
6.657520e+04,6.007537e-08,1.349773e-03
2.810002e+05,6.171113e-08,4.969597e-04
4.017311e+05,7.378666e-08,1.486432e-03
3.486681e+05,0.000000e+00,5.539155e-04
3.951810e+05,0.000000e+00,1.413669e-03
5.078705e+05,0.000000e+00,5.271496e-04
2.565346e+05,0.000000e+00,1.673855e-03
6.994416e+05,0.000000e+00,1.699732e-03
5.297280e+05,0.000000e+00,3.140090e-04
2.288209e+05,0.000000e+00,1.519156e-04
9.597691e+05,0.000000e+00,1.075829e-03
1.321610e+05,0.000000e+00,3.009911e-04
7.261524e+05,0.000000e+00,1.535461e-03
